text,label
"It is clear that 'Alcohol is Haram in Islam and should be avoided.'. Hence, it is Haram.",1
من الواضح أن 'هذا المنتج يحتوي على جيلاتين حلال.' Halal.,0
"From the description 'This snack contains animal-derived gelatin.', we can conclude it is Mashbooh.",2
هذا المنتج يحتوي على جيلاتين حلال.. النتيجة: Halal.,0
Produk ini dibuat dengan bahan-bahan halal dan disahkan oleh badan berwibawa.. Ini menunjukkan bahawa statusnya adalah Halal.,0
Alcohol is Haram in Islam and should be avoided. — Status: Haram.,1
تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال. من الواضح أنه Mashbooh.,2
Apple is a nutritious fruit that is considered Halal.. Verdict: Halal.,0
Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram. — Keputusan: Mashbooh.,2
"Jelas sekali, 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.' adalah Mashbooh.",2
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram. — Keputusan: Haram.",1
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.. Ini menunjukkan bahawa statusnya adalah Haram.",1
من الواضح أن 'هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.' Mashbooh.,2
Produk ini diproses di kilang yang memproses produk halal dan haram.. Kesimpulan: Mashbooh.,2
من الواضح أن 'المنتج يحتوي على مواد حرام.' Haram.,1
منتج يحتوي على الكحول بكميات غير محددة. من الواضح أنه Mashbooh.,2
هذا المنتج يحتوي على جيلاتين الخنزير. من الواضح أنه Haram.,1
Herbs like basil and parsley are Halal. — Status: Halal.,0
هذا المنتج يحتوي على جيلاتين الخنزير.. النتيجة: Haram.,1
هذا المشروب يحتوي على الكحول بنسبة 7%.. النتيجة: Haram.,1
"Minuman beralkohol, seperti bir, adalah Haram.. Ini menunjukkan bahawa statusnya adalah Haram.",1
Tomato is a Halal vegetable that is rich in antioxidants. — Status: Halal.,0
"Minuman ini mengandungi arak walaupun dalam kuantiti kecil, ia tetap Haram. — Keputusan: Haram.",1
Pork is Haram in Islam and not allowed. — Status: Haram.,1
"Jelas sekali, 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.' adalah Mashbooh.",2
هذا المشروب يحتوي على كحول بنسبة عالية. من الواضح أنه Haram.,1
"From the description 'Gelatin is made from animal collagen and can be Mashbooh if the source is unknown.', we can conclude it is Mashbooh.",2
من الواضح أن 'هذا المشروب يحتوي على كحول بنسبة عالية.' Haram.,1
"Daripada penerangan 'Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.', ia boleh diklasifikasikan sebagai Mashbooh.",2
Bananas are a great source of potassium and Halal.. Verdict: Halal.,0
المنتج خالي من المكونات الحيوانية أو الكحول. من الواضح أنه Halal.,0
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
"من خلال الوصف 'منتج يحتوي على مواد قد تكون غير حلال حسب عملية الإنتاج.', يتبين أنه Mashbooh.",2
المنتج خالي من المكونات الحيوانية أو الكحول. — الحالة: Halal.,0
المنتج خالي من المكونات الحيوانية أو الكحول. من الواضح أنه Halal.,0
هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.. النتيجة: Mashbooh.,2
منتج يحتوي على مواد قد تكون غير حلال حسب عملية الإنتاج. — الحالة: Mashbooh.,2
"من خلال الوصف 'المنتج يتكون من لحوم حلال تم ذبحها وفقًا للشريعة الإسلامية.', يتبين أنه Halal.",0
"Jelas sekali, 'Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.' adalah Mashbooh.",2
من الواضح أن 'المنتج خالي من المكونات الحيوانية أو الكحول.' Halal.,0
منتج يتكون من مكونات حلال وصحية. — الحالة: Halal.,0
منتج خالي من المواد الحيوانية والمشروبات الكحولية. — الحالة: Halal.,0
"Milk and dairy products are generally Halal. Clearly, it is categorized as Halal.",0
Spinach is a Halal green leafy vegetable. — Status: Halal.,0
هذا المشروب يحتوي على كحول بنسبة عالية.. النتيجة: Haram.,1
Carrots are Halal and packed with vitamins. — Status: Halal.,0
من الواضح أن 'هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.' Mashbooh.,2
"من خلال الوصف 'منتج يتكون من مكونات حلال وصحية.', يتبين أنه Halal.",0
"From the description 'Carrots are Halal and packed with vitamins.', we can conclude it is Halal.",0
"Juice made from fresh fruits, like orange, is Halal. Clearly, it is categorized as Halal.",0
هذا المنتج يحتوي على جيلاتين حلال.. النتيجة: Halal.,0
المنتج يحتوي على مواد حرام. من الواضح أنه Haram.,1
منتج يحتوي على مواد قد تكون غير حلال حسب عملية الإنتاج. من الواضح أنه Mashbooh.,2
Produk ini diproses menggunakan bahan yang diragui status halalnya.. Ini menunjukkan bahawa statusnya adalah Mashbooh.,2
Milk and dairy products are generally Halal. — Status: Halal.,0
"It is clear that 'Alcohol is Haram in Islam and should be avoided.'. Hence, it is Haram.",1
"Bananas are a great source of potassium and Halal. Clearly, it is categorized as Halal.",0
Bananas are a great source of potassium and Halal.. Verdict: Halal.,0
"From the description 'This snack contains animal-derived gelatin.', we can conclude it is Mashbooh.",2
"Daripada penerangan 'Produk ini dibuat dengan bahan-bahan halal dan disahkan oleh badan berwibawa.', ia boleh diklasifikasikan sebagai Halal.",0
"Carrots are Halal and packed with vitamins. Clearly, it is categorized as Halal.",0
Gelatin dalam produk ini berasal dari sumber yang tidak dapat dipastikan status halalnya.. Kesimpulan: Mashbooh.,2
"Daripada penerangan 'Produk ini mengandungi daging halal tetapi diproses di kilang yang turut memproses daging haram.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"Bananas are a great source of potassium and Halal. Clearly, it is categorized as Halal.",0
"It is clear that 'Bananas are a great source of potassium and Halal.'. Hence, it is Halal.",0
This snack contains animal-derived gelatin.. Verdict: Mashbooh.,2
"Apple is a nutritious fruit that is considered Halal. Clearly, it is categorized as Halal.",0
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. — الحالة: Mashbooh.,2
"Daripada penerangan 'Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram.. Kesimpulan: Haram.",1
المنتج يحتوي على مواد حرام.. النتيجة: Haram.,1
Produk ini 100% sayur-sayuran tanpa bahan haiwan.. Ini menunjukkan bahawa statusnya adalah Halal.,0
منتج يحتوي على مكونات حلال ولكن تمت معالجته بطرق مشكوك فيها.. النتيجة: Mashbooh.,2
المنتج يحتوي على مواد حرام.. النتيجة: Haram.,1
من الواضح أن 'منتج يحتوي على الكحول بكميات غير محددة.' Mashbooh.,2
"من خلال الوصف 'تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال.', يتبين أنه Mashbooh.",2
منتج يحتوي على الكحول بكميات غير محددة. — الحالة: Mashbooh.,2
هذا المنتج يحتوي على مكونات مشكوك في حالتها.. النتيجة: Mashbooh.,2
"Minuman beralkohol, seperti bir, adalah Haram.. Kesimpulan: Haram.",1
"Minuman ini mengandungi alkohol sebanyak 15%, jelas Haram. — Keputusan: Haram.",1
"Jelas sekali, 'Produk ini mengandungi bahan daripada sumber haiwan yang tidak diketahui.' adalah Mashbooh.",2
Produk ini mengandungi bahan pengawet yang tidak dapat dipastikan status halalnya. — Keputusan: Mashbooh.,2
تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال.. النتيجة: Mashbooh.,2
Spinach is a Halal green leafy vegetable. — Status: Halal.,0
"It is clear that 'Pork is Haram in Islam and not allowed.'. Hence, it is Haram.",1
هذا المنتج يحتوي على مكونات حلال مصرح بها.. النتيجة: Halal.,0
"It is clear that 'Chicken is Halal when slaughtered according to the requirements of Islamic law.'. Hence, it is Halal.",0
هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها. — الحالة: Mashbooh.,2
المنتج يتكون من لحوم حلال تم ذبحها وفقًا للشريعة الإسلامية.. النتيجة: Halal.,0
هذا المشروب يحتوي على كحول بنسبة عالية. — الحالة: Haram.,1
"Daripada penerangan 'Produk ini diproses di kilang yang memproses produk halal dan haram.', ia boleh diklasifikasikan sebagai Mashbooh.",2
"From the description 'Gelatin is made from animal collagen and can be Mashbooh if the source is unknown.', we can conclude it is Mashbooh.",2
"Jelas sekali, 'Produk ini diproses di kilang yang memproses produk halal dan haram.' adalah Mashbooh.",2
هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.. النتيجة: Mashbooh.,2
"It is clear that 'Juice made from fresh fruits, like orange, is Halal.'. Hence, it is Halal.",0
Gelatin is made from animal collagen and can be Mashbooh if the source is unknown. — Status: Mashbooh.,2
"It is clear that 'Pork is Haram in Islam and not allowed.'. Hence, it is Haram.",1
المنتج خالي من المكونات الحيوانية أو الكحول.. النتيجة: Halal.,0
"Juice made from fresh fruits, like orange, is Halal. Clearly, it is categorized as Halal.",0
"Juice made from fresh fruits, like orange, is Halal. Clearly, it is categorized as Halal.",0
Alcohol is Haram in Islam and should be avoided. — Status: Haram.,1
"من خلال الوصف 'الأطعمة تحتوي على المكونات النباتية فقط.', يتبين أنه Halal.",0
"Minuman beralkohol, seperti bir, adalah Haram. — Keputusan: Haram.",1
المنتج يحتوي على مستخلصات حيوانية تم معالجتها بطرق غير واضحة.. النتيجة: Mashbooh.,2
هذا المشروب يحتوي على كحول بنسبة عالية. — الحالة: Haram.,1
الأطعمة تحتوي على المكونات النباتية فقط.. النتيجة: Halal.,0
"من خلال الوصف 'المنتج يحتوي على مواد حرام.', يتبين أنه Haram.",1
منتج يتكون من مكونات حلال وصحية. من الواضح أنه Halal.,0
"من خلال الوصف 'منتج يتكون من مكونات حلال وصحية.', يتبين أنه Halal.",0
"من خلال الوصف 'المنتج يحتوي على الكحول بنسبة 10%.', يتبين أنه Haram.",1
Pork is Haram in Islam and not allowed.. Verdict: Haram.,1
"من خلال الوصف 'هذا المنتج يحتوي على مستخلصات حيوانية مشكوك فيها.', يتبين أنه Mashbooh.",2
هذا المنتج يحتوي على جيلاتين حلال. من الواضح أنه Halal.,0
منتج يحتوي على مواد قد تكون حلال أو حرام حسب ظروف الإنتاج. من الواضح أنه Mashbooh.,2
منتج يحتوي على الكحول بكميات غير محددة. — الحالة: Mashbooh.,2
"Krimer ini mengandungi derivatif lemak haiwan, status halal tidak jelas. — Keputusan: Mashbooh.",2
"Gelatin is made from animal collagen and can be Mashbooh if the source is unknown. Clearly, it is categorized as Mashbooh.",2
المنتج خالي من المكونات الحيوانية أو الكحول. — الحالة: Halal.,0
"Jelas sekali, 'Produk ini bebas dari bahan haiwan dan alkohol.' adalah Halal.",0
"Alcohol is Haram in Islam and should be avoided. Clearly, it is categorized as Haram.",1
المنتج يحتوي على مواد حرام.. النتيجة: Haram.,1
من الواضح أن 'المنتج يحتوي على مواد حرام.' Haram.,1
"It is clear that 'Juice made from fresh fruits, like orange, is Halal.'. Hence, it is Halal.",0
"Daripada penerangan 'Minuman ini mengandungi arak walaupun dalam kuantiti kecil, ia tetap Haram.', ia boleh diklasifikasikan sebagai Haram.",1
من الواضح أن 'تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال.' Mashbooh.,2
"من خلال الوصف 'هذا المنتج يحتوي على جيلاتين الخنزير.', يتبين أنه Haram.",1
تم تجهيز هذا المنتج في مصنع يعالج اللحوم الحلال وغير الحلال. من الواضح أنه Mashbooh.,2
Pork is Haram in Islam and not allowed.. Verdict: Haram.,1
المنتج خالي من المكونات الحيوانية أو الكحول. — الحالة: Halal.,0
Produk ini dibuat dengan bahan-bahan halal dan disahkan oleh badan berwibawa.. Ini menunjukkan bahawa statusnya adalah Halal.,0
"Gelatin is made from animal collagen and can be Mashbooh if the source is unknown. Clearly, it is categorized as Mashbooh.",2
منتج يحتوي على مكونات حلال ولكن تمت معالجته بطرق مشكوك فيها.. النتيجة: Mashbooh.,2
"Jelas sekali, 'Produk ini bebas dari bahan haiwan dan alkohol.' adalah Halal.",0
المنتج يحتوي على مواد حرام. — الحالة: Haram.,1
Milk and dairy products are generally Halal.. Verdict: Halal.,0
"من خلال الوصف 'تم إنتاجه في مصنع يعالج لحوم حلال وغير حلال.', يتبين أنه Mashbooh.",2
"Daripada penerangan 'Produk ini mengandungi gelatin babi.', ia boleh diklasifikasikan sebagai Haram.",1
"Krimer ini mengandungi derivatif lemak haiwan, status halal tidak jelas. — Keputusan: Mashbooh.",2
المنتج يحتوي على مواد حرام كالمشروبات الكحولية.. النتيجة: Haram.,1
